RMSE,LL,N,AUC
0.587778827392543,1.80430542260871,38584,0.617015574267767
0.517213676899372,1.32130077383323,38585,0.682495966580236
0.482189823084687,0.968029407373873,38585,0.724921634919647
0.469885045341527,0.815099470301311,38585,0.735417059610094
0.463994983257431,0.730195840201113,38584,0.737285658500146
0.459761304499673,0.67751688524799,38584,0.753384530492706
0.454568965719483,0.667825082016728,38585,0.764004649784234
0.450255789888947,0.658615528110881,38585,0.770847188906026
0.450261466618525,0.640536644448351,38585,0.77328270324213
0.449795247812465,0.641197745126748,38584,0.775874607774713
0.447013691952947,0.629131589346245,38585,0.78169948585791
0.446640457208685,0.62869820489879,38585,0.782630918067833
0.444674858265603,0.618458266522859,38585,0.783920196663505
0.443782782147964,0.614451353491757,38585,0.784946170108078
0.442408391642444,0.608167663032604,38584,0.786525790503846
0.44391973143062,0.61154215766965,38585,0.7844064900194
0.444491797494376,0.609463743039007,38585,0.784606097457616
0.443391543848971,0.602117082445546,38585,0.785696065791311
0.441842170285014,0.597751469975482,38585,0.787254165919793
0.441444469733416,0.600331560656751,38584,0.786841770928768
0.441576679296651,0.601217274388166,38585,0.786946361780728
0.441135858564935,0.600843760837327,38585,0.787859287262813
0.442202245032829,0.604672481069167,38585,0.785384109497323
0.441740622276283,0.604190792547739,38584,0.78506702565624
0.440586551467416,0.59588673513841,38584,0.78719802673742
0.44067962106799,0.593440915507922,38585,0.786768523458254
0.440700079979832,0.591195386126153,38585,0.785597988029882
0.441603512393864,0.59240862289882,38585,0.784435420448346
0.442493235438441,0.592787705278064,38584,0.783648090721495
0.444505135408599,0.598043833041209,38585,0.78063218250145
